Class Name;DefaultDisplayName;DefaultCategory;Behaviors;DisplayOrder;DefaultIconBlockOffset;DefaultIconViewOffset;DefaultIconViewScale;FirstPersonScale;FirstPersonOffset;FirstPersonRotation;InHandScale;InHandOffset;InHandRotation;CraftingId;DefaultCreativeData;IsCollidable;IsPlaceable;IsDiggingTransparent;IsPlacementTransparent;DefaultIsInteractive;IsEditable;IsNonDuplicable;IsGatherable;HasCollisionBehavior;KillsWhenStuck;IsFluidBlocker;IsTransparent;GenerateFacesForSameNeighbors;DefaultShadowStrength;LightAttenuation;DefaultEmittedLightAmount;ObjectShadowStrength;DefaultDropContent;DefaultDropCount;DefaultExperienceCount;RequiredToolLevel;MaxStacking;SleepSuitability;FrictionFactor;Density;NoAutoJump;NoSmoothRise;FuelHeatLevel;FuelFireDuration;DefaultSoundMaterialName;ShovelPower;QuarryPower;HackPower;DefaultMeleePower;DefaultMeleeHitProbability;DefaultProjectilePower;ToolLevel;PlayerLevelRequired;Durability;IsAimable;IsStickable;AlignToVelocity;ProjectileSpeed;ProjectileDamping;ProjectileTipOffset;DisintegratesOnHit;ProjectileStickProbability;DefaultHeat;FireDuration;ExplosionResilience;DefaultExplosionPressure;DefaultExplosionIncendiary;ExplosionKeepsPickables;DigMethod;DigResilience;ProjectileResilience;DefaultNutritionalValue;DefaultSicknessProbability;FoodType;DefaultRotPeriod;DefaultTextureSlot;DestructionDebrisScale;DefaultDescription
GravelBlock;砾石;Terrain;;12;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;gravel;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;15;0;0;1;#;1;0.005;0;40;0;1;3;FALSE;FALSE;0;0;Sand;1;1;1;1;;1;1;;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;;0;25;;;;Shovel;3;1;;;;;19;1;砾石是细石的集合体。砾石藏匿处经常在地下发现，有时还会覆盖海滩。然后它以 shingle 的名义为人所知。砾石是一种松散的材料，在下面挖隧道时会坍塌，很容易掩埋粗心的人，所以要小心。它是投掷岩石的最佳来源。
ClayBlock;粘土;Terrain;;13;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;clay;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;15;0;0;0.9;#;1;0.005;0;40;0;1;3;FALSE;FALSE;0;0;Soft;1;1;1;1;;1;1;;-1;FALSE;FALSE;FALSE;0;;0;FALSE;1;;0;25;;;;Shovel;3;1;;;;;8;1;粘土是一种由非常小的颗粒组成的厚重、致密的土壤。自古以来，人们就知道，通过在炉中烧制它可以获得砖块，这是用途最广泛的建筑材料。粘土经常出现在浅湖的底部。可以涂漆。
SandBlock;沙子;Terrain;;14;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;sand;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;15;0;0;0.9;#;1;0.005;0;40;0.5;1;3;FALSE;FALSE;0;0;Sand;1;1;1;1;;1;1;;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0.9;;0;25;;;;Shovel;1.5;1;;;;;18;1;沙子是一种淡黄色的松散物质，覆盖着沙漠地区和海滩。要小心，因为在下面挖隧道时沙子会坍塌。它最常用于制造玻璃。仙人掌通常会在干燥和炎热的气候下生长在上面。
GrassBlock;草块;Terrain;;15;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;15;0;0;1;#DirtBlock;1;0.005;0;40;1;1;3;FALSE;FALSE;0;0;Dirt;1;1;1;1;;1;1;;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0.9;;0;25;;;;Shovel;2;1;;;;;;1;当有足够的阳光时，草会生长在土块上。当条件合适时，上面会生长出各种花朵、高大的草叶和蔬菜。草很容易被重物覆盖而破坏，并且需要很长时间才能重新生长。
WaterBlock;水;Terrain;;16;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;;-1;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;1;2;0;0;;1;;0;40;0;1;1;FALSE;FALSE;0;0;;1;1;1;1;;1;1;;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;;0;50;;;;;;1;;;;;189;0;水是一种很容易从一个地方流到另一个地方并充满低洼地区的流体。可以使用铲斗将其从源头运输到干燥区域。当放置在寒冷的地方时，水会结成冰。
MagmaBlock;岩浆;Terrain;;17;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;;-1;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;-99;1;13;0;;1;;0;40;0;1;3;FALSE;FALSE;0;0;Sand;1;1;1;1;;1;1;;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;1;0;50;;;;;;1;;;;;141;0;热熔岩偶尔在水池中发现，在地下深处的玄武岩中。它非常热，一旦接触到它就会点燃任何易燃物。它也会很快杀死任何碰巧掉进去的生物。可以使用存储桶将其从源头运走。
SnowBlock;雪;Terrain;;18;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;snow;0;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;2;0;0;0.8;;0;;1;40;0;1;0.5;FALSE;FALSE;0;0;Snow;1;1;1;1;;1;1;;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;;0;2;;;;Shovel;1;1;;;;;66;1;一种冰冻的水，覆盖在寒冷的生物群系中的地面。在寒冷的天气里，它可能会以降雪的形式从天而降，覆盖直接暴露在天空中的任何区域。
IceBlock;冰;Terrain;;19;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;ice;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;15;2;0;0.9;#WaterBlock;1;;0;40;0;0.1;0.5;FALSE;FALSE;0;0;Stone;1;1;1;1;;1;1;;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0.9;;0;25;;;;Quarry;4;1;;;;;65;1;一块已经冻结固体的水。每当水暴露在低温下时，它就会变成冰。冰反过来可以通过使用火或岩浆作为热源融化回水中。它的表面很滑，行走很困难。
FireBlock;火;Terrain;;20;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;fire;-1;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-99;1;15;1;;1;;0;40;0;1;0;FALSE;FALSE;0;0;;1;1;1;1;;1;1;;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;1;0;0;;;;;;1;;;;;123;1;
StoneChunkBlock;岩石;Terrain;ThrowableBlockBehavior;21;0,0,0;0, 0, 1;1;0.4;0.5, -0.5, -0.6;0, -70, 0;0.3;0,0.12,0;0, 0, 45;stonechunk;0;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;15;0;0;0;;1;;0;40;0;1;3;FALSE;FALSE;0;0;;1;1;1;1;;2;1;;-1;TRUE;FALSE;FALSE;14;0.9;0.1;FALSE;0;;0;;;;;;;1;;;;;210;1;石头在熟练的投掷者手中可以成为令人生畏的武器。它们数量丰富且易于获得。最好的岩石是通过挖掘砾石块找到的。
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CoalOreBlock;煤矿石;Minerals;;23;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;coalore;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;15;0;0;1;#CoalChunkBlock;3;1;0;40;0;1;3;FALSE;FALSE;0;0;Stone;1;1;1;1;;2;1;;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;;0;50;;;TRUE;Quarry;14;1;;;;;34;1;煤矿石是嵌入花岗岩中的煤脉。开采时获得煤块。
CopperOreBlock;铜矿;Minerals;;24;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;copperore;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;15;0;0;1;#MalachiteChunkBlock;3;1;0;40;0;1;3;FALSE;FALSE;0;0;Stone;1;1;1;1;;2;1;;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;;0;50;;;TRUE;Quarry;14;1;;;;;32;1;铜矿石是嵌入花岗岩中的绿色碳酸铜矿脉。开采时获得孔雀石块。需要在炉中进一步加工，以从碳酸盐中提取纯铜。
IronOreBlock;铁矿;Minerals;;25;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;ironore;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;15;0;0;1;#IronOreChunkBlock;2;1;0;40;0;1;3;FALSE;FALSE;0;0;Stone;1;1;1;1;;2;1;;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;;0;50;;;TRUE;Quarry;22;1;;;;;33;1;铁矿石是嵌入玄武岩中的氧化铁矿脉。开采时获得铁矿石块。需要在炉中进一步加工，以从氧化物中提取纯铁。
SulphurOreBlock;硫磺矿石;Minerals;;26;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;sulphurore;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;15;0;0;1;#SulphurChunkBlock;3;1;0;40;0;1;3;FALSE;FALSE;0;0;Stone;1;1;1;1;;2;1;;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;;0;50;;;TRUE;Quarry;22;1;;;;;36;1;硫矿石是嵌入玄武岩中的元素硫矿脉。开采时获得硫磺块。硫磺可用于制造烟火物质，如火药或火柴。
DiamondOreBlock;钻石矿石;Minerals;;27;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;diamondore;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;15;0;0;1;#DiamondChunkBlock;2;3;0;40;0;1;3;FALSE;FALSE;0;0;Stone;1;1;1;1;;2;1;;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;;0;50;;;TRUE;Quarry;22;1;;;;;48;1;金刚石矿石是嵌入玄武岩中的金刚石晶体。开采时获得钻石。
GermaniumOreBlock;锗矿;Minerals;;28;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;germaniumore;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;15;0;0;1;#GermaniumOreChunkBlock;2;1;0;40;0;1;3;FALSE;FALSE;0;0;Stone;1;1;1;1;;2;1;;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;;0;50;;;TRUE;Quarry;22;1;;;;;49;1;锗矿是嵌入玄武岩中的氧化锗矿脉。开采时获得锗矿石块。
SaltpeterOreBlock;硝石矿石;Minerals;;29;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;saltpeterore;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;15;0;0;1;#SaltpeterChunkBlock;2;1;0;40;0;1;3;FALSE;FALSE;0;0;Stone;1;1;1;1;;2;1;;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;;0;50;;;TRUE;Quarry;12;1;;;;;35;1;硝石矿石是嵌入砂岩中的硝酸钾矿脉。开采时获得硝石区块。硝石可用于制造炸药。
CoalBlock;煤炭块;Minerals;;30;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;coalblock;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;15;0;0;1;#;1;;0;4;0;1;3;FALSE;FALSE;2;600;Stone;1;1;1;1;;2;1;;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0.9;;999999;50;;;TRUE;Quarry;8;1;;;;;62;1;一块煤。如果在露天着火，它会燃烧很长时间。适合作为炉中的长效燃料。你可以用一些煤块制作它，或者把它分成去。有时可以在丰富的煤层内找到地下的煤块。
CoalChunkBlock;煤块;Minerals;ThrowableBlockBehavior;31;0,0,0;0, 0, 1;1;0.4;0.5, -0.5, -0.6;0, -70, 0;0.3;0,0.12,0;0, 0, 45;coalchunk;0;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;15;0;0;0;;1;;0;40;0;1;3;FALSE;FALSE;2;80;;1;1;1;1;;2;1;;-1;TRUE;FALSE;FALSE;14;0.9;0.1;FALSE;0;;0;;;;TRUE;;;1;;;;;227;1;一大块纯煤。可用于为熔炉提供燃料，并用作各种物质（如火药）的成分。将金属矿石还原成纯金属时用作试剂。也用作使油漆颜色较深的颜料。在没有矿物煤的情况下，您可以在炉子中的贫氧气氛中燃烧木材并获得类似的物质：木炭。
MalachiteChunkBlock;孔雀石块;Minerals;ThrowableBlockBehavior;32;0,0,0;0, 0, 1;1;0.4;0.5, -0.5, -0.6;0, -70, 0;0.3;0,0.12,0;0, 0, 45;malachitechunk;0;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;15;0;0;0;;1;;0;40;0;1;3;FALSE;FALSE;0;0;;1;1;1;1;;2;1;;-1;TRUE;FALSE;FALSE;14;0.9;0.1;FALSE;0;;0;;;;TRUE;;;1;;;;;226;1;一块具有美丽绿色的碳酸铜。在炉中冶炼时会变成纯铜。多个块可以组合形成一大块孔雀石，这是一种美丽的装饰材料。
IronOreChunkBlock;铁矿石块;Minerals;ThrowableBlockBehavior;33;0,0,0;0, 0, 1;1;0.4;0.5, -0.5, -0.6;0, -70, 0;0.3;0,0.12,0;0, 0, 45;ironorechunk;0;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;15;0;0;0;;1;;0;40;0;1;3;FALSE;FALSE;0;0;;1;1;1;1;;2;1;;-1;TRUE;FALSE;FALSE;14;0.9;0.1;FALSE;0;;0;;;;TRUE;;;1;;;;;228;1;一大块铁矿石。在熔炉中冶炼时，会变成纯铁，可用于制作耐用的工具和盔甲。
SaltpeterChunkBlock;硝石块;Minerals;ThrowableBlockBehavior;34;0,0,0;0, 0, 1;1;0.4;0.5, -0.5, -0.6;0, -70, 0;0.3;0,0.12,0;0, 0, 45;saltpeterchunk;0;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;15;0;0;0;;1;;0;40;0;1;3;FALSE;FALSE;2;0;;1;1;1;1;;2;1;;-1;TRUE;FALSE;FALSE;14;0.9;0.1;FALSE;0;;0;;;;TRUE;;;1;;;;;15;0.5;一大块硝酸钾。这是一种含氧量高的白色物质，可用作制造炸药的氧化剂，或者撒在土壤上时用作肥料，以加速植物生长并提高产量。
SulphurChunkBlock;硫磺块;Minerals;ThrowableBlockBehavior;35;0,0,0;0, 0, 1;1;0.4;0.5, -0.5, -0.6;0, -70, 0;0.3;0,0.12,0;0, 0, 45;sulphurchunk;0;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;15;0;0;0;;1;;0;40;0;1;0.5;FALSE;FALSE;2;10;;1;1;1;1;;2;1;;-1;TRUE;FALSE;FALSE;14;0.9;0.1;FALSE;0;;0;;;;TRUE;;;1;;;;;224;1;一大块元素硫磺。可用作油漆和火药或火柴等烟火物质的成分。
GermaniumOreChunkBlock;锗矿块;Minerals;ThrowableBlockBehavior;36;0,0,0;0, 0, 1;1;0.4;0.5, -0.5, -0.6;0, -70, 0;0.3;0,0.12,0;0, 0, 45;germaniumorechunk;0;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;15;0;0;0;;1;;0;40;0;1;0.5;FALSE;FALSE;0;0;;1;1;1;1;;2;1;;-1;TRUE;FALSE;FALSE;14;0.9;0.1;FALSE;0;;0;;;;TRUE;;;1;;;;;228;1;一大块锗矿石。在熔炉中熔炼后，会变成纯锗晶体，可用于制作电子逻辑门。
GermaniumChunkBlock;锗晶体;Minerals;ThrowableBlockBehavior;37;0,0,0;0, 0, 1;1;0.4;0.5, -0.5, -0.6;0, -70, 0;0.3;0,0.12,0;0, 0, 45;germaniumchunk;0;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;15;0;0;0;;1;;0;40;0;1;3;FALSE;FALSE;0;0;;1;1;1;1;;2;1;;-1;TRUE;FALSE;FALSE;14;0.9;0.1;FALSE;0;;0;;;;TRUE;;;1;;;;;228;1;锗晶体是纯电子级锗的晶体。它是一种半导体，可用于制造电子逻辑门。
DiamondChunkBlock;钻石;Minerals;ThrowableBlockBehavior;38;0,0,0;0, 0.5, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 0;diamond;0;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;15;0;0;0;;1;;0;40;0;1;1.5;FALSE;FALSE;0;20;;1;1;1;1;;2;1;;-1;TRUE;FALSE;FALSE;14;0.9;0.1;FALSE;0;;0;;;;TRUE;;;1;;;;;193;1;金刚石是纯碳的晶体。非常稀有和美丽，它发现于地下深处。它可用于制造极其坚硬和耐用的工具。作为碳，也可以在炉子中作为燃料燃烧，但只有傻瓜才会为了如此平凡的目的而浪费这种珍贵的物质。
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
